measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Colombia,Both,All Ages,Physical violence by other means,Rate,2019,145.56392280101898,191.8023470133175,106.89171055012234
YLLs (Years of Life Lost),Colombia,Male,All Ages,Exposure to forces of nature,Rate,2019,1.8633147169216326,2.0501778928511887,1.6918775742619554
YLLs (Years of Life Lost),Colombia,Female,All Ages,Exposure to forces of nature,Rate,2019,1.0987025200134064,1.2088862911321656,0.9976147011100739
YLLs (Years of Life Lost),Colombia,Both,All Ages,Exposure to forces of nature,Rate,2019,1.4723928868883647,1.6200523287214637,1.3369231097711627
YLLs (Years of Life Lost),Colombia,Female,All Ages,Maternal deaths aggravated by HIV/AIDS,Rate,2019,0.10693475772804668,0.19298088208794417,0.05058799038438421
YLLs (Years of Life Lost),Colombia,Both,All Ages,Maternal deaths aggravated by HIV/AIDS,Rate,2019,0.054672331090514475,0.09866497015389397,0.025864026049721097
YLLs (Years of Life Lost),Colombia,Male,All Ages,Environmental heat and cold exposure,Rate,2019,1.4380689335458232,1.871779187578651,1.0852216770966536
YLLs (Years of Life Lost),Colombia,Female,All Ages,Environmental heat and cold exposure,Rate,2019,0.7505972869389755,0.9454548164501801,0.585553816606788
YLLs (Years of Life Lost),Colombia,Both,All Ages,Environmental heat and cold exposure,Rate,2019,1.086586606590752,1.3865538719423431,0.8334391954682219
YLLs (Years of Life Lost),Colombia,Male,All Ages,Ebola,Rate,2019,0.0,0.0,0.0
YLLs (Years of Life Lost),Colombia,Female,All Ages,Ebola,Rate,2019,0.0,0.0,0.0
YLLs (Years of Life Lost),Colombia,Both,All Ages,Ebola,Rate,2019,0.0,0.0,0.0
YLLs (Years of Life Lost),Colombia,Male,All Ages,Acute lymphoid leukemia,Rate,2019,87.27023952440456,117.92405142958097,62.82854301381478
YLLs (Years of Life Lost),Colombia,Female,All Ages,Acute lymphoid leukemia,Rate,2019,69.59377376570848,88.85418484074862,51.75076033779212
YLLs (Years of Life Lost),Colombia,Both,All Ages,Acute lymphoid leukemia,Rate,2019,78.23282634835084,100.32659199309965,58.70697836822856
YLLs (Years of Life Lost),Colombia,Male,All Ages,Chronic lymphoid leukemia,Rate,2019,6.676503625357851,9.795007765810574,4.576214775324568
YLLs (Years of Life Lost),Colombia,Female,All Ages,Chronic lymphoid leukemia,Rate,2019,4.733887425977199,6.303609016332534,3.418744979284703
YLLs (Years of Life Lost),Colombia,Both,All Ages,Chronic lymphoid leukemia,Rate,2019,5.683305919664827,7.585124832804434,4.133924915717644
YLLs (Years of Life Lost),Colombia,Male,All Ages,Acute myeloid leukemia,Rate,2019,55.60122597344074,77.15910655660868,39.29930941611174
YLLs (Years of Life Lost),Colombia,Female,All Ages,Acute myeloid leukemia,Rate,2019,47.44778322058995,63.16269971490593,34.49552936341604
YLLs (Years of Life Lost),Colombia,Both,All Ages,Acute myeloid leukemia,Rate,2019,51.43263073666026,67.36874310987544,38.60849390777265
YLLs (Years of Life Lost),Colombia,Male,All Ages,Chronic myeloid leukemia,Rate,2019,13.534989305220694,18.797207445851168,9.712563441671834
YLLs (Years of Life Lost),Colombia,Female,All Ages,Chronic myeloid leukemia,Rate,2019,8.986043975511587,11.704516476692742,6.691019876480986
YLLs (Years of Life Lost),Colombia,Both,All Ages,Chronic myeloid leukemia,Rate,2019,11.209258640444721,14.759455986780056,8.347317710349015
YLLs (Years of Life Lost),Colombia,Male,All Ages,Non-melanoma skin cancer (squamous-cell carcinoma),Rate,2019,23.21722377596961,30.593161173474815,17.536526227432947
YLLs (Years of Life Lost),Colombia,Female,All Ages,Non-melanoma skin cancer (squamous-cell carcinoma),Rate,2019,18.2447058890803,23.496849991667112,14.05140423746876
YLLs (Years of Life Lost),Colombia,Both,All Ages,Non-melanoma skin cancer (squamous-cell carcinoma),Rate,2019,20.674933971966883,26.470464434382233,16.02341107523433
YLLs (Years of Life Lost),Colombia,Male,All Ages,Executions and police conflict,Rate,2019,56.3090291650178,106.21571977363936,26.795846735659715
YLLs (Years of Life Lost),Colombia,Female,All Ages,Executions and police conflict,Rate,2019,4.81861375728625,7.8528087019495345,3.085452545089713
YLLs (Years of Life Lost),Colombia,Both,All Ages,Executions and police conflict,Rate,2019,29.98362198245412,55.155964712158884,14.915946208500747
YLLs (Years of Life Lost),Colombia,Male,All Ages,Drowning,Rate,2019,191.20194431491296,247.21227796715542,143.37871558781487
YLLs (Years of Life Lost),Colombia,Female,All Ages,Drowning,Rate,2019,51.662090923921525,67.00625966595362,38.57688600013602
YLLs (Years of Life Lost),Colombia,Both,All Ages,Drowning,Rate,2019,119.85966770625511,154.33953167780967,90.22292145929747
YLLs (Years of Life Lost),Colombia,Male,All Ages,"Fire, heat, and hot substances",Rate,2019,22.884678557340752,29.177076297339426,17.774745716766887
YLLs (Years of Life Lost),Colombia,Female,All Ages,"Fire, heat, and hot substances",Rate,2019,13.297258786169376,16.991996582241295,10.13142177340051
YLLs (Years of Life Lost),Colombia,Both,All Ages,"Fire, heat, and hot substances",Rate,2019,17.982936605801743,22.74721789325731,13.99519659320828
YLLs (Years of Life Lost),Colombia,Male,All Ages,Poisoning by carbon monoxide,Rate,2019,5.131871003245339,6.872441869413416,3.643611747073777
YLLs (Years of Life Lost),Colombia,Female,All Ages,Poisoning by carbon monoxide,Rate,2019,1.145859828518794,1.5143752135194581,0.8383890514046285
YLLs (Years of Life Lost),Colombia,Both,All Ages,Poisoning by carbon monoxide,Rate,2019,3.0939506179075815,4.1235830654752235,2.2181092138012635
YLLs (Years of Life Lost),Colombia,Male,All Ages,Poisoning by other means,Rate,2019,5.6504075449171225,7.2912976750609495,4.167923072187463
YLLs (Years of Life Lost),Colombia,Female,All Ages,Poisoning by other means,Rate,2019,2.3866278243183805,3.15372651749061,1.762858713657007
YLLs (Years of Life Lost),Colombia,Both,All Ages,Poisoning by other means,Rate,2019,3.981741067504031,5.150820826436701,2.950883691132885
YLLs (Years of Life Lost),Colombia,Male,All Ages,Unintentional firearm injuries,Rate,2019,19.29550536564703,33.80830284323077,13.291919577617687
YLLs (Years of Life Lost),Colombia,Female,All Ages,Unintentional firearm injuries,Rate,2019,3.192940070319267,4.2042080777091515,2.305423418591128
YLLs (Years of Life Lost),Colombia,Both,All Ages,Unintentional firearm injuries,Rate,2019,11.062777299140288,18.3127959968648,7.812982931198136
YLLs (Years of Life Lost),Colombia,Male,All Ages,Other exposure to mechanical forces,Rate,2019,68.75776500302403,89.87149759792722,49.53232944718952
YLLs (Years of Life Lost),Colombia,Female,All Ages,Other exposure to mechanical forces,Rate,2019,10.562410099456162,13.625317620240194,8.076741726268795
YLLs (Years of Life Lost),Colombia,Both,All Ages,Other exposure to mechanical forces,Rate,2019,39.00433610098833,50.86498250100541,28.844361452427975
YLLs (Years of Life Lost),Colombia,Male,All Ages,Adverse effects of medical treatment,Rate,2019,16.33129512552766,23.566807178296035,11.822617484739155
YLLs (Years of Life Lost),Colombia,Female,All Ages,Adverse effects of medical treatment,Rate,2019,18.85101454660275,25.347119015918427,14.026891632660677
YLLs (Years of Life Lost),Colombia,Both,All Ages,Adverse effects of medical treatment,Rate,2019,17.619547302565902,23.468760081389398,13.256481660955998
YLLs (Years of Life Lost),Colombia,Male,All Ages,Venomous animal contact,Rate,2019,11.659133877070943,15.603935578436808,8.45056877920911
YLLs (Years of Life Lost),Colombia,Female,All Ages,Venomous animal contact,Rate,2019,4.643545333412707,6.139267674977806,3.424835203307809
YLLs (Years of Life Lost),Colombia,Both,All Ages,Venomous animal contact,Rate,2019,8.072287207168188,10.765509779953717,5.990936260165851
YLLs (Years of Life Lost),Colombia,Male,All Ages,Non-venomous animal contact,Rate,2019,7.739499180535601,10.574518996651394,5.581250432319804
YLLs (Years of Life Lost),Colombia,Female,All Ages,Non-venomous animal contact,Rate,2019,1.3882452384562367,1.9220745436827298,1.0187224449262042
YLLs (Years of Life Lost),Colombia,Both,All Ages,Non-venomous animal contact,Rate,2019,4.49230560438908,6.080211905376192,3.274393289122064
YLLs (Years of Life Lost),Colombia,Male,All Ages,Liver cancer due to other causes,Rate,2019,5.34408436533715,7.502701081859999,3.7570050980024137
YLLs (Years of Life Lost),Colombia,Female,All Ages,Liver cancer due to other causes,Rate,2019,5.923383356449486,8.129801777356995,4.074839055998264
YLLs (Years of Life Lost),Colombia,Both,All Ages,Liver cancer due to other causes,Rate,2019,5.640261463554747,7.581611394305195,4.013704948160155
YLLs (Years of Life Lost),Colombia,Male,All Ages,Other malignant neoplasms,Rate,2019,147.58597146989203,194.11884565832477,112.24697024036594
YLLs (Years of Life Lost),Colombia,Female,All Ages,Other malignant neoplasms,Rate,2019,135.5732406119646,172.87291142842454,105.3115794232534
YLLs (Years of Life Lost),Colombia,Both,All Ages,Other malignant neoplasms,Rate,2019,141.44424531162912,183.06322330784442,109.32862843309246
YLLs (Years of Life Lost),Colombia,Male,All Ages,Cyclist road injuries,Rate,2019,74.22828719346158,98.16923728346332,54.47249260976114
YLLs (Years of Life Lost),Colombia,Female,All Ages,Cyclist road injuries,Rate,2019,8.016030147149358,10.93783006019234,5.7427645883156275
YLLs (Years of Life Lost),Colombia,Both,All Ages,Cyclist road injuries,Rate,2019,40.37607191381925,53.24705187238806,29.72504642575992
YLLs (Years of Life Lost),Colombia,Male,All Ages,Non-rheumatic calcific aortic valve disease,Rate,2019,36.06718647441761,49.96304165411037,25.550797484588795
YLLs (Years of Life Lost),Colombia,Female,All Ages,Non-rheumatic calcific aortic valve disease,Rate,2019,24.40100646237498,38.03122310943091,16.91431088509824
YLLs (Years of Life Lost),Colombia,Both,All Ages,Non-rheumatic calcific aortic valve disease,Rate,2019,30.102640710896864,42.378024891913604,21.494380962080232
YLLs (Years of Life Lost),Colombia,Male,All Ages,Non-rheumatic degenerative mitral valve disease,Rate,2019,16.422628735573273,23.94661522612321,7.837423173765291
YLLs (Years of Life Lost),Colombia,Female,All Ages,Non-rheumatic degenerative mitral valve disease,Rate,2019,21.545044100679995,29.87658946877964,12.148444359650751
YLLs (Years of Life Lost),Colombia,Both,All Ages,Non-rheumatic degenerative mitral valve disease,Rate,2019,19.04155633941631,26.48221218903413,11.12513754226048
YLLs (Years of Life Lost),Colombia,Male,All Ages,Other non-rheumatic valve diseases,Rate,2019,0.38654257189184216,0.7393312287817067,0.12631692561273108
YLLs (Years of Life Lost),Colombia,Female,All Ages,Other non-rheumatic valve diseases,Rate,2019,0.6204717519217471,1.1537386069148168,0.1689945648366527
YLLs (Years of Life Lost),Colombia,Both,All Ages,Other non-rheumatic valve diseases,Rate,2019,0.5061431007942715,0.9226250999251928,0.1533275642139176
YLLs (Years of Life Lost),Colombia,Male,All Ages,Cirrhosis and other chronic liver diseases due to NAFLD,Rate,2019,39.28570171733584,59.75181818925116,24.876392308690747
YLLs (Years of Life Lost),Colombia,Female,All Ages,Cirrhosis and other chronic liver diseases due to NAFLD,Rate,2019,35.73394471550607,50.91322636010448,24.12588898453583
YLLs (Years of Life Lost),Colombia,Both,All Ages,Cirrhosis and other chronic liver diseases due to NAFLD,Rate,2019,37.46980164066541,54.790870930916746,24.750581082542283
YLLs (Years of Life Lost),Colombia,Male,All Ages,Diabetes mellitus type 1,Rate,2019,15.52843604411762,22.572448776826075,10.79111026487115
YLLs (Years of Life Lost),Colombia,Female,All Ages,Diabetes mellitus type 1,Rate,2019,12.673586094965597,19.67083028161328,8.579764294301594
YLLs (Years of Life Lost),Colombia,Both,All Ages,Diabetes mellitus type 1,Rate,2019,14.068842316597156,20.028675644948258,10.308300845501035
YLLs (Years of Life Lost),Colombia,Male,All Ages,Diabetes mellitus type 2,Rate,2019,252.93326362673787,327.63156449616173,192.94582184984858
YLLs (Years of Life Lost),Colombia,Female,All Ages,Diabetes mellitus type 2,Rate,2019,299.56709705489703,377.5380707189964,233.35709026910163
YLLs (Years of Life Lost),Colombia,Both,All Ages,Diabetes mellitus type 2,Rate,2019,276.77565533709503,353.5670018333592,216.75720671043433
YLLs (Years of Life Lost),Colombia,Female,All Ages,Maternal abortion and miscarriage,Rate,2019,3.998033254056625,5.916369157228632,2.57267508314409
YLLs (Years of Life Lost),Colombia,Both,All Ages,Maternal abortion and miscarriage,Rate,2019,2.0440668910716675,3.024850855699601,1.3153267181067345
YLLs (Years of Life Lost),Colombia,Male,All Ages,Liver cancer due to NASH,Rate,2019,4.160702024374182,6.571754954578851,2.472035783053193
YLLs (Years of Life Lost),Colombia,Female,All Ages,Liver cancer due to NASH,Rate,2019,5.170476845875324,7.80770656628635,3.3062411393431206
YLLs (Years of Life Lost),Colombia,Both,All Ages,Liver cancer due to NASH,Rate,2019,4.676967685239802,7.076597965915652,2.983937347331267
YLLs (Years of Life Lost),Colombia,Male,All Ages,Chronic kidney disease due to diabetes mellitus type 1,Rate,2019,27.630078602429382,44.14531576605524,16.20831550641657
YLLs (Years of Life Lost),Colombia,Female,All Ages,Chronic kidney disease due to diabetes mellitus type 1,Rate,2019,24.46596916325602,38.761746133570696,14.563121592619027
YLLs (Years of Life Lost),Colombia,Both,All Ages,Chronic kidney disease due to diabetes mellitus type 1,Rate,2019,26.012370361063642,41.485760621149055,15.445885192150655
YLLs (Years of Life Lost),Colombia,Male,All Ages,Chronic kidney disease due to diabetes mellitus type 2,Rate,2019,104.03858852617988,146.13868947774503,71.67577926882957
YLLs (Years of Life Lost),Colombia,Female,All Ages,Chronic kidney disease due to diabetes mellitus type 2,Rate,2019,89.96505362745403,122.64292711596777,62.133412018083
YLLs (Years of Life Lost),Colombia,Both,All Ages,Chronic kidney disease due to diabetes mellitus type 2,Rate,2019,96.84323898834445,134.3999477085873,67.41017550455133
YLLs (Years of Life Lost),Colombia,Male,All Ages,Other cardiovascular and circulatory diseases,Rate,2019,67.9011648307316,89.54469138638238,50.77216465816404
YLLs (Years of Life Lost),Colombia,Female,All Ages,Other cardiovascular and circulatory diseases,Rate,2019,84.93233068717441,112.37271111388151,62.75468532615235
YLLs (Years of Life Lost),Colombia,Both,All Ages,Other cardiovascular and circulatory diseases,Rate,2019,76.60865674770913,99.69989420145913,57.70262645554393
YLLs (Years of Life Lost),Colombia,Male,All Ages,Total burden related to hepatitis B,Rate,2019,27.853358422919943,39.53143094380575,18.955542527039334
YLLs (Years of Life Lost),Colombia,Female,All Ages,Total burden related to hepatitis B,Rate,2019,12.059139238444427,17.198160614798915,8.354810251222126
YLLs (Years of Life Lost),Colombia,Both,All Ages,Total burden related to hepatitis B,Rate,2019,19.77827788862027,28.072804513923085,13.688037974825514
YLLs (Years of Life Lost),Colombia,Male,All Ages,Total burden related to hepatitis C,Rate,2019,82.17439166864419,116.03864895879443,55.907609534519054
YLLs (Years of Life Lost),Colombia,Female,All Ages,Total burden related to hepatitis C,Rate,2019,55.27715713820924,74.2404805642281,39.807643183691305
YLLs (Years of Life Lost),Colombia,Both,All Ages,Total burden related to hepatitis C,Rate,2019,68.42269350323586,94.57038816310317,47.98167759418856
YLLs (Years of Life Lost),Colombia,Male,All Ages,Total burden related to Non-alcoholic fatty liver disease (NAFLD),Rate,2019,43.44640374171,64.53758428604272,28.007591821157607
YLLs (Years of Life Lost),Colombia,Female,All Ages,Total burden related to Non-alcoholic fatty liver disease (NAFLD),Rate,2019,40.90442156138132,57.3502421623514,28.52067086505805
YLLs (Years of Life Lost),Colombia,Both,All Ages,Total burden related to Non-alcoholic fatty liver disease (NAFLD),Rate,2019,42.14676932590523,60.513037319841615,28.565268330347816
YLLs (Years of Life Lost),Colombia,Male,All Ages,Total cancers,Rate,2019,2377.4241582770665,3037.4890358461785,1828.3176989630501
YLLs (Years of Life Lost),Colombia,Female,All Ages,Total cancers,Rate,2019,2577.2172681984935,3226.4109407883693,2028.413991504563
YLLs (Years of Life Lost),Colombia,Both,All Ages,Total cancers,Rate,2019,2479.57200325566,3128.0473434820865,1930.434632982884
YLLs (Years of Life Lost),Colombia,Male,All Ages,Neonatal preterm birth,Rate,2019,399.9967150007731,602.0267669035825,254.17156407584932
YLLs (Years of Life Lost),Colombia,Female,All Ages,Neonatal preterm birth,Rate,2019,256.10565175121735,371.17964319578493,168.56470511569137
YLLs (Years of Life Lost),Colombia,Both,All Ages,Neonatal preterm birth,Rate,2019,326.42980356723615,478.44803785431634,209.90601890323217
YLLs (Years of Life Lost),Colombia,Male,All Ages,Neonatal encephalopathy due to birth asphyxia and trauma,Rate,2019,172.548535303697,256.4814774849499,105.75698635243246
YLLs (Years of Life Lost),Colombia,Female,All Ages,Neonatal encephalopathy due to birth asphyxia and trauma,Rate,2019,109.24933098884367,162.7364373714011,69.79274130641781
YLLs (Years of Life Lost),Colombia,Both,All Ages,Neonatal encephalopathy due to birth asphyxia and trauma,Rate,2019,140.18567097787158,208.20455638146566,89.53060532946009
YLLs (Years of Life Lost),Colombia,Male,All Ages,Neonatal sepsis and other neonatal infections,Rate,2019,219.95448170031236,326.9667886405217,141.7277803124352
YLLs (Years of Life Lost),Colombia,Female,All Ages,Neonatal sepsis and other neonatal infections,Rate,2019,137.58168140083836,194.83391877520424,92.23759614530205
YLLs (Years of Life Lost),Colombia,Both,All Ages,Neonatal sepsis and other neonatal infections,Rate,2019,177.83989607344935,256.8399713772363,115.69532935532271
YLLs (Years of Life Lost),Colombia,Male,All Ages,Hemolytic disease and other neonatal jaundice,Rate,2019,5.237378250479069,8.373652893245085,2.9846467096994544
YLLs (Years of Life Lost),Colombia,Female,All Ages,Hemolytic disease and other neonatal jaundice,Rate,2019,3.1074043739670483,4.892966863912347,1.8471262885036297
YLLs (Years of Life Lost),Colombia,Both,All Ages,Hemolytic disease and other neonatal jaundice,Rate,2019,4.148390539982118,6.393135064233949,2.553572309763461
YLLs (Years of Life Lost),Colombia,Male,All Ages,Other neonatal disorders,Rate,2019,175.91779030390913,263.0542998642229,106.25989770958245
YLLs (Years of Life Lost),Colombia,Female,All Ages,Other neonatal disorders,Rate,2019,110.08462557502367,161.1591791527327,66.34423187836448
YLLs (Years of Life Lost),Colombia,Both,All Ages,Other neonatal disorders,Rate,2019,142.25939283554314,207.412700309549,90.9288680291129
YLLs (Years of Life Lost),Colombia,Male,All Ages,Protein-energy malnutrition,Rate,2019,117.27405746082451,162.1147081821772,81.03243667825163
YLLs (Years of Life Lost),Colombia,Female,All Ages,Protein-energy malnutrition,Rate,2019,105.48019017253581,142.42117949743255,75.11712267346356
YLLs (Years of Life Lost),Colombia,Both,All Ages,Protein-energy malnutrition,Rate,2019,111.24422926536786,150.83197391894035,78.60227406727695
YLLs (Years of Life Lost),Colombia,Male,All Ages,Other nutritional deficiencies,Rate,2019,2.5682264287006125,4.019741396154705,1.3687356288871437
YLLs (Years of Life Lost),Colombia,Female,All Ages,Other nutritional deficiencies,Rate,2019,2.5964468798770253,3.7351395659977276,1.5077964915047943
YLLs (Years of Life Lost),Colombia,Both,All Ages,Other nutritional deficiencies,Rate,2019,2.5826546453349506,3.869536546327051,1.6475664667019787
YLLs (Years of Life Lost),Colombia,Male,All Ages,Syphilis,Rate,2019,4.059920187039714,6.0577762504044985,2.586020471303929
YLLs (Years of Life Lost),Colombia,Female,All Ages,Syphilis,Rate,2019,2.724969035200723,3.9808018305888897,1.7718183179680778
YLLs (Years of Life Lost),Colombia,Both,All Ages,Syphilis,Rate,2019,3.3774022395205567,4.962715772159249,2.197755528127515
YLLs (Years of Life Lost),Colombia,Male,All Ages,Chlamydial infection,Rate,2019,0.0,0.0,0.0
YLLs (Years of Life Lost),Colombia,Female,All Ages,Chlamydial infection,Rate,2019,0.6623642855962912,0.8782535037602962,0.48097731871638716
YLLs (Years of Life Lost),Colombia,Both,All Ages,Chlamydial infection,Rate,2019,0.3386457340348432,0.44902300579480964,0.24590836295496918
YLLs (Years of Life Lost),Colombia,Male,All Ages,Gonococcal infection,Rate,2019,0.09886817832360963,0.15992427595780548,0.03487578307406037
YLLs (Years of Life Lost),Colombia,Female,All Ages,Gonococcal infection,Rate,2019,1.796214646639738,2.3809542048882033,1.295437609537151
YLLs (Years of Life Lost),Colombia,Both,All Ages,Gonococcal infection,Rate,2019,0.966667293061361,1.2836371311447032,0.7018909107739044
YLLs (Years of Life Lost),Colombia,Male,All Ages,Other sexually transmitted infections,Rate,2019,0.21105526924552417,0.3237184848031429,0.07579787668655193
YLLs (Years of Life Lost),Colombia,Female,All Ages,Other sexually transmitted infections,Rate,2019,1.4808141449812864,1.9660503490864847,1.0648823105986864
YLLs (Years of Life Lost),Colombia,Both,All Ages,Other sexually transmitted infections,Rate,2019,0.8602424852103625,1.1410371255928313,0.6338110977597899
YLLs (Years of Life Lost),Colombia,Male,All Ages,Acute hepatitis A,Rate,2019,0.674488485323226,1.0830527304426558,0.38750615108219016
YLLs (Years of Life Lost),Colombia,Female,All Ages,Acute hepatitis A,Rate,2019,0.49606911841350754,0.7591972974110098,0.296025166689465
YLLs (Years of Life Lost),Colombia,Both,All Ages,Acute hepatitis A,Rate,2019,0.5832683534606213,0.8767661929389723,0.3785780485280784
YLLs (Years of Life Lost),Colombia,Male,All Ages,Acute hepatitis B,Rate,2019,0.8909125138076891,1.3947362054075159,0.43008365858058717
YLLs (Years of Life Lost),Colombia,Female,All Ages,Acute hepatitis B,Rate,2019,0.2855559675552461,0.4893047403816887,0.144727745751162
YLLs (Years of Life Lost),Colombia,Both,All Ages,Acute hepatitis B,Rate,2019,0.5814130187165474,0.8876485313104048,0.30987065875681813
YLLs (Years of Life Lost),Colombia,Male,All Ages,Acute hepatitis C,Rate,2019,0.1729533882733344,0.4540623436667435,0.07092146925387224
YLLs (Years of Life Lost),Colombia,Female,All Ages,Acute hepatitis C,Rate,2019,0.1377101061326167,0.28657278660045016,0.05424035446770812
YLLs (Years of Life Lost),Colombia,Both,All Ages,Acute hepatitis C,Rate,2019,0.15493462215040568,0.3261774333375989,0.08122789214611553
YLLs (Years of Life Lost),Colombia,Male,All Ages,Acute hepatitis E,Rate,2019,0.028626215859769315,0.07357605390957461,0.00686198974187017
YLLs (Years of Life Lost),Colombia,Female,All Ages,Acute hepatitis E,Rate,2019,0.017567748751475064,0.03427993432071851,0.007547748938007448
YLLs (Years of Life Lost),Colombia,Both,All Ages,Acute hepatitis E,Rate,2019,0.022972374321774704,0.04941965720902233,0.009568629453009753
YLLs (Years of Life Lost),Colombia,Male,All Ages,Other unspecified infectious diseases,Rate,2019,33.184242769997525,55.002508139935706,19.89490183429266
YLLs (Years of Life Lost),Colombia,Female,All Ages,Other unspecified infectious diseases,Rate,2019,18.963350674706124,29.025921560278725,12.672075586265434
YLLs (Years of Life Lost),Colombia,Both,All Ages,Other unspecified infectious diseases,Rate,2019,25.913554197311605,39.45343777539043,17.106070906760362
YLLs (Years of Life Lost),Colombia,Male,All Ages,Esophageal cancer,Rate,2019,62.59828889336742,83.58913962219214,46.22134639005469
YLLs (Years of Life Lost),Colombia,Female,All Ages,Esophageal cancer,Rate,2019,27.915104929584892,35.48825159291903,21.217371764088153
YLLs (Years of Life Lost),Colombia,Both,All Ages,Esophageal cancer,Rate,2019,44.86588310475074,58.20643557211838,33.59401431490238
